danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,Class
0.549,0.869,4,-4.905,0,0.0289,0.00261,0.00000177,0.29,0.433,91.988,178733,4,country
0.575,0.571,1,-7.906,1,0.0439,0.0558,0,0.0912,0.449,105.049,197947,4,country
0.711,0.696,7,-5.05,1,0.0871,0.16,0,0.17,0.694,80.512,189533,4,country
0.434,0.831,8,-4.774,1,0.0453,0.0651,0,0.119,0.596,156.034,185440,4,country
0.609,0.814,0,-4.263,1,0.0382,0.0226,0.00000114,0.382,0.385,126.006,205373,4,country
0.615,0.68,6,-4.582,1,0.0286,0.364,0.00000175,0.115,0.702,149.992,234347,4,country
0.571,0.677,2,-4.718,0,0.0373,0.0231,0,0.352,0.134,128.008,190000,4,rock
0.547,0.944,4,-3.304,0,0.0507,0.0000481,0.0451,0.195,0.364,93.966,203274,4,rock
0.565,0.85,11,-4.256,0,0.0366,0.00555,0.0000435,0.113,0.26,92.01,185960,4,rock
0.451,0.865,11,-4.219,1,0.044,0.0103,0.0316,0.232,0.461,172.153,211485,4,rock
0.579,0.778,8,-5.933,1,0.164,0.0158,0,0.101,0.467,166.006,193372,4,rock
0.586,0.951,6,-3.022,1,0.209,0.00461,0,0.0767,0.471,130.009,231690,4,rock
0.512,0.884,6,-5.659,0,0.168,0.0016,0.00215,0.0763,0.649,154.019,216721,4,rock
0.55,0.936,8,-2.876,1,0.078,0.000207,0.00000267,0.302,0.767,158.02,204253,4,rock
0.27,0.931,1,-5.016,1,0.232,0.0139,0,0.218,0.446,124.608,213395,4,rock
0.526,0.817,4,-7.589,0,0.0851,0.0552,0.0000725,0.123,0.558,90.727,211187,4,rock
0.568,0.916,6,-5.327,1,0.0943,0.115,0.000464,0.0779,0.52,129.981,238148,4,rock
0.343,0.91,8,-5.734,1,0.0648,0.00136,0.0000567,0.0717,0.15,163.975,225732,4,rock
0.601,0.676,9,-4.423,1,0.0926,0.00414,0,0.186,0.391,167.92,214186,4,rock
0.621,0.972,7,-2.245,0,0.05,0.0177,0.0015,0.0692,0.802,101.012,222200,4,rock
0.658,0.599,6,-7.488,1,0.0367,0.124,0,0.124,0.485,75.01,186238,4,rock
0.479,0.727,4,-5.369,1,0.0357,0.000718,0.0000197,0.0644,0.0577,180.09,253249,4,rock
0.57,0.723,0,-6.673,0,0.0386,0.00238,0.000144,0.2,0.44,145.001,201957,4,rock
0.579,0.904,5,-2.729,1,0.0618,0.193,0,0.064,0.681,82.014,190947,4,rock
0.626,0.7,4,-5.437,0,0.0305,0.00149,0.00108,0.17,0.362,101.016,222181,4,rock
0.391,0.8,2,-2.761,1,0.0523,0.00977,0.00000308,0.329,0.398,83.81,210851,4,rock
0.518,0.713,10,-6.031,0,0.0815,0.00417,0.00768,0.103,0.302,140.137,229893,4,rock
0.568,0.907,5,-4.641,0,0.0488,0.00115,0,0.0982,0.337,112.037,230933,4,rock
0.338,0.806,9,-7.417,0,0.0767,0.00343,0,0.144,0.278,160.821,219760,4,rock
0.56,0.885,2,-5.631,1,0.0363,0.047,0.00000347,0.361,0.312,102.003,196480,4,rock
0.619,0.696,7,-6.269,0,0.0315,0.0000189,0.00555,0.38,0.727,125.986,219720,4,rock
0.528,0.976,2,-2.188,1,0.0803,0.000108,0,0.24,0.511,100.082,261705,4,rock
0.526,0.98,1,-3.042,1,0.34,0.0000174,0.00136,0.208,0.45,110.011,217828,4,rock
0.525,0.957,0,-3.742,1,0.0689,0.00202,0.00000325,0.333,0.456,97.445,228373,4,rock
0.437,0.934,6,-3.227,0,0.0915,0.00166,0,0.317,0.431,144.135,209109,4,rock
0.514,0.956,11,-3.003,0,0.271,0.00134,0.0243,0.0627,0.436,174.038,195250,4,rock
0.552,0.935,0,-4.096,1,0.0623,0.0174,0.00000198,0.116,0.38,74.954,245787,4,rock
0.4,0.792,11,-4.118,1,0.0368,0.000449,0.0848,0.185,0.338,117.819,209049,4,rock
0.482,0.946,4,-3.231,0,0.0853,0.00251,0,0.0466,0.287,135.071,245861,4,rock
0.577,0.936,11,-2.924,0,0.078,0.043,0.0000174,0.413,0.899,168.879,170453,4,rock
0.442,0.897,2,-6.161,1,0.11,0.127,0,0.0993,0.174,148.844,350520,4,rock
